runtype,seed.meta,ought.valid,ought.errtype,check.noerrors,check.validoutput,errmess
simplescenarios,32855,TRUE,0,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,32855,FALSE,1,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,32855,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; j + 1; ] <- as.numeric(c(inputs$demobase.survadult[i; : number of items to replace is not a multiple of replacement length
simplescenarios,32855,FALSE,3,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,32855,FALSE,4,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,32855,FALSE,5,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,32855,FALSE,6,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,32855,FALSE,7,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,32855,FALSE,8,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,32855,FALSE,9,FALSE,FALSE,Error in inits.burned(nbyage.burned = nbyage.burned; inipop.totals = inipop.totals): Error! Zero values during burn-in...
simplescenarios,32855,FALSE,10,FALSE,FALSE,Error in inputs$demobase.prod[i; ]: subscript out of bounds
simplescenarios,32855,FALSE,11,FALSE,FALSE,Error in ru.base[j; tt; ; ; drop = FALSE]: subscript out of bounds
simplescenarios,32855,FALSE,12,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,32855,FALSE,13,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,32855,FALSE,14,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,32855,FALSE,15,FALSE,FALSE,Error in year.first:output.year.end: result would be too long a vector
simplescenarios,32855,FALSE,16,FALSE,FALSE,Error in !model.demostoch: invalid argument type
simplescenarios,32855,FALSE,17,FALSE,FALSE,Error in if (max(frot) > 1e+08) {: missing value where TRUE/FALSE needed
simplescenarios,32855,FALSE,18,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Population size explosion - will lead to numerical overflow
simplescenarios,32855,FALSE,19,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,32855,FALSE,20,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,99910,TRUE,0,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,1,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,2,FALSE,FALSE,Error in demobase.vals[i; nd; ] <- as.numeric(c(inputs$demobase.survadult)): number of items to replace is not a multiple of replacement length
simplescenarios,99910,FALSE,3,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,99910,FALSE,4,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,5,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,99910,FALSE,6,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,99910,FALSE,7,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,99910,FALSE,8,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,9,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,10,FALSE,FALSE,Error in nbyage[i; j; inipop.relyears[j]; ; a] <- inipop.counts[a; ; j]: NAs are not allowed in subscripted assignments
simplescenarios,99910,FALSE,11,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,12,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,13,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,14,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,15,FALSE,FALSE,Error in year.first:output.year.end: result would be too long a vector
simplescenarios,99910,FALSE,16,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,17,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,18,FALSE,FALSE,Error in leslie.update(demobase.ests = demobase.ests[j; ; ]; nbyage.prev = nbyage.prev; : Invalid survival probabilities simulated!
simplescenarios,99910,FALSE,19,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
simplescenarios,99910,FALSE,20,FALSE,FALSE,Error in demomods$es[[zi]]: attempt to select less than one element in get1index
