,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
e0,295,142,0,0,0,0,0,0,367,61,216,0,0,0,0,0,0,0,180,0,0
e1,70,35,0,0,0,0,0,0,72,0,46,0,0,0,122,0,0,0,36,0,0
e2,78,42,0,0,0,0,0,0,0,215,43,2,0,0,0,0,0,0,0,0,0
e3,157,91,0,0,114,0,0,0,161,324,95,113,53,51,51,4,49,209,94,0,0
e4,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0
e5,0,0,0,600,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0,600,400
e6,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0
e7,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e8,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0
e10,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,140,0,0,0,0,0
e11,0,0,0,0,0,0,0,0,0,0,54,0,202,202,202,0,202,202,0,0,0
e12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0
e13,0,0,0,0,0,0,0,0,0,0,0,0,343,345,224,0,0,187,0,0,0
e14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0
e15,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0
e16,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
e17,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0
e18,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
e20,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0
e21,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e24,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
