Year,Age,Scenario,Baseyear,Currently.Impacted,Impact.year,popsize.mean,popsize.sd,popsize.median,popsize.q1%,popsize.q2.5%,popsize.q5%,popsize.q10%,popsize.q20%,popsize.q25%,popsize.q33%,popsize.q66%,popsize.q75%,popsize.q80%,popsize.q90%,popsize.q95%,popsize.q97.5%,popsize.q99%,pgr.median,pgr.mean,pgr.sd,pgr.cilo,pgr.cihi,agr.median,agr.mean,agr.sd,agr.cilo,agr.cihi,ppc.median,ppc.mean,ppc.sd,ppc.cilo,ppc.cihi,m1.median,m1.mean,m1.sd,m1.cilo,m1.cihi,m2.median,m2.mean,m2.sd,m2.cilo,m2.cihi,m3,m4,m5,m6
2006,whole.population,baseline,1,FALSE,NA,14314,0,14314,14314,14314,14314,14314,14314,14314,14314,14314,14314,14314,14314,14314,14314,14314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,whole.population,baseline,1,FALSE,NA,10465,110.308657865101,10465,10388.56,10390.9,10394.8,10402.6,10418.2,10426,10438.48,10489.96,10504,10511.8,10527.4,10535.2,10539.1,10541.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,whole.population,baseline,1,FALSE,NA,7807,41.0121933088198,7807,7778.58,7779.45,7780.9,7783.8,7789.6,7792.5,7797.14,7816.28,7821.5,7824.4,7830.2,7833.1,7834.55,7835.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,whole.population,baseline,1,FALSE,NA,5868.5,58.6898628384834,5868.5,5827.83,5829.075,5831.15,5835.3,5843.6,5847.75,5854.39,5881.78,5889.25,5893.4,5901.7,5905.85,5907.925,5909.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,whole.population,baseline,1,FALSE,NA,4487.5,115.258405333407,4487.5,4407.63,4410.075,4414.15,4422.3,4438.6,4446.75,4459.79,4513.58,4528.25,4536.4,4552.7,4560.85,4564.925,4567.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,whole.population,baseline,1,FALSE,NA,3458.5,109.601551083915,3458.5,3382.55,3384.875,3388.75,3396.5,3412,3419.75,3432.15,3483.3,3497.25,3505,3520.5,3528.25,3532.125,3534.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,whole.population,baseline,1,FALSE,NA,2571,98.9949493661167,2571,2502.4,2504.5,2508,2515,2529,2536,2547.2,2593.4,2606,2613,2627,2634,2637.5,2639.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,whole.population,baseline,1,FALSE,NA,1957,65.0538238691624,1957,1911.92,1913.3,1915.6,1920.2,1929.4,1934,1941.36,1971.72,1980,1984.6,1993.8,1998.4,2000.7,2002.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,whole.population,baseline,1,FALSE,NA,1511.5,82.7314933988261,1511.5,1454.17,1455.925,1458.85,1464.7,1476.4,1482.25,1491.61,1530.22,1540.75,1546.6,1558.3,1564.15,1567.075,1568.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,whole.population,baseline,1,FALSE,NA,1155.5,31.8198051533946,1155.5,1133.45,1134.125,1135.25,1137.5,1142,1144.25,1147.85,1162.7,1166.75,1169,1173.5,1175.75,1176.875,1177.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,whole.population,baseline,1,FALSE,NA,894.5,24.7487373415292,894.5,877.35,877.875,878.75,880.5,884,885.75,888.55,900.1,903.25,905,908.5,910.25,911.125,911.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,whole.population,baseline,1,FALSE,NA,683.5,20.5060966544099,683.5,669.29,669.725,670.45,671.9,674.8,676.25,678.57,688.14,690.75,692.2,695.1,696.55,697.275,697.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,whole.population,baseline,1,FALSE,NA,536.5,21.920310216783,536.5,521.31,521.775,522.55,524.1,527.2,528.75,531.23,541.46,544.25,545.8,548.9,550.45,551.225,551.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,whole.population,baseline,1,FALSE,NA,407,24.0416305603426,407,390.34,390.85,391.7,393.4,396.8,398.5,401.22,412.44,415.5,417.2,420.6,422.3,423.15,423.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,whole.population,baseline,1,FALSE,NA,330,25.4558441227157,330,312.36,312.9,313.8,315.6,319.2,321,323.88,335.76,339,340.8,344.4,346.2,347.1,347.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,whole.population,baseline,1,FALSE,NA,265.5,0.707106781186548,265.5,265.01,265.025,265.05,265.1,265.2,265.25,265.33,265.66,265.75,265.8,265.9,265.95,265.975,265.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,whole.population,baseline,1,FALSE,NA,201,16.9705627484771,201,189.24,189.6,190.2,191.4,193.8,195,196.92,204.84,207,208.2,210.6,211.8,212.4,212.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,whole.population,baseline,1,FALSE,NA,156.5,23.3345237791561,156.5,140.33,140.825,141.65,143.3,146.6,148.25,150.89,161.78,164.75,166.4,169.7,171.35,172.175,172.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,whole.population,baseline,1,FALSE,NA,119,28.2842712474619,119,99.4,100,101,103,107,109,112.2,125.4,129,131,135,137,138,138.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,whole.population,baseline,1,FALSE,NA,100.5,13.4350288425444,100.5,91.19,91.475,91.95,92.9,94.8,95.75,97.27,103.54,105.25,106.2,108.1,109.05,109.525,109.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,whole.population,baseline,1,FALSE,NA,83.5,6.36396103067893,83.5,79.09,79.225,79.45,79.9,80.8,81.25,81.97,84.94,85.75,86.2,87.1,87.55,87.775,87.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,whole.population,baseline,1,FALSE,NA,67.5,4.94974746830583,67.5,64.07,64.175,64.35,64.7,65.4,65.75,66.31,68.62,69.25,69.6,70.3,70.65,70.825,70.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
