Species,Age class,Age.lo,Age.hi,Source,Source_old_version,Type,Study area,Study Period,Region,Country,Reference,"Data collection method (MR - mark-recapture; RR
- Ring-recovery; Joint - ring-recovery and mark- recapture)",Estimation method (VR - variable recapture; CR - constant recapture),study.nyears,Study.Mean,Study.SD.Orig,Study.SE.Orig,Study.SD,Number.of.studies,Weighted?,Nat.Mean.HRN,Nat.Mean,Nat.SD.HRN,Nat.SD,Comparison.to.HRN,SV.mean,SV.SD
Atlantic Puffin,Adult,5,,National,National (H&R; 2015),National - derived ,,,,,,,,,,,,,3,No,0.906,0.907,0.083,0.083,Good,0.907,0.083
Atlantic Puffin,Adult,5,,Fair Isle (1990-2002),Fair Isle (1990-2002),Study - sep and nat,Fair Isle,1990-2002,Shetland,UK,Harris et al 2005,MR,VR,12,0.915,0.11,,0.11,,,,,,,,0.915,0.11
Atlantic Puffin,Adult,5,,Isle of May (1984-2008),Isle of May (1984-2008),Study - sep and nat,Isle of May,1984-2008,SE Scotland,UK,Lahoz-Monfort et al 2011,MR,VR,24,0.901,0.091,,0.091,,,,,,,,0.901,0.091
Atlantic Puffin,Adult,5,,Skomer (1972-2008),Skomer (1972-2008),Study - sep and nat,Skomer,1972-2008,Wales,UK,Taylor et al 2010,MR,,36,0.906,0.047,,0.047,,,,,,,,0.906,0.047
Atlantic Puffin,Immature,0,3,National,National (H&R; 2015),National - single study,,1980-2003,New Brunswick,Canada,Breton et al 2006,MR,VR,24,0.709,,0.022,0.108,1,,0.709,0.709,0.022,0.108,Error in H&R SDs,0.892,
Atlantic Puffin,Immature,3,4,National,National (H&R; 2015),National - single study,,1980-2003,New Brunswick,Canada,Breton et al 2006,MR,VR,24,0.76,,0.019,0.093,1,,0.76,0.76,0.019,0.093,Error in H&R SDs,0.76,0.093
Atlantic Puffin,Immature,4,5,National,National (H&R; 2015),National - single study,,1980-2003,New Brunswick,Canada,Breton et al 2006,MR,VR,24,0.805,,0.017,0.083,1,,0.805,0.805,0.017,0.083,Error in H&R SDs,0.805,0.083
Common Guillemot,Adult,4,,National,National (H&R; 2015),National - derived ,,,,,,,,,,,,,4,No,0.939,0.94,0.015,0.025,Error in H&R SDs,0.94,0.025
Common Guillemot,Adult,4,,Canna (1983-1995),Canna (1983-1995),Study - sep only,Canna,1983-1995,NW Scotland,UK,Harris et al 2000b,MR,VR,12,0.875,0.102,,0.102,,,,,,,,0.875,0.102
Common Guillemot,Adult,4,,,,Study - nat only,Canna,1983-2005,NW Scotland,UK,Reynolds et al 2011,MR,VR,22,0.95,,,0,,,,,,,,,
Common Guillemot,Adult,4,,Colonsay (1990-1995),Colonsay (1990-1995),Study - sep only,Colonsay,1990-1995,SW Scotland,UK,Harris et al 2000b,MR,VR,5,0.838,0.142,,0.142,,,,,,,,0.838,0.142
Common Guillemot,Adult,4,,,,Study - nat only,Colonsay,1983-2005,SW Scotland,UK,Reynolds et al 2011,MR,VR,22,0.955,,,0,,,,,,,,,
Common Guillemot,Adult,4,,Isle of May (1984-2008),Isle of May (1984-2008),Study - sep and nat,Isle of May,1984-2008,SE Scotland,UK,Lahoz-Monfort et al 2011,MR,VR,24,0.924,0.058,,0.058,,,,,,,,0.924,0.058
Common Guillemot,Adult,4,,Skomer (1985-2011),Skomer (1985-2011),Study - sep and nat,Skomer,1985-2011,Wales,UK,Meade et al 2013,MR,VR,26,0.93,0.043,,0.043,,,,,,,,0.93,0.043
Common Guillemot,Immature,0,1,National,National (H&R; 2015),National - single study,Isle of May,1983-2002,SE Scotland,UK,Harris et al 2007,MR,VR,20,0.56,,0.013,0.058,1,,0.56,0.56,0.013,0.058,Error in H&R SDs,0.56,0.058
Common Guillemot,Immature,1,2,National,National (H&R; 2015),National - single study,Isle of May,1983-2002,SE Scotland,UK,Harris et al 2007,MR,VR,20,0.792,,0.034,0.152,1,,0.792,0.792,0.034,0.152,Error in H&R SDs,0.792,0.152
Common Guillemot,Immature,2,3,National,National (H&R; 2015),National - single study,Isle of May,1983-2002,SE Scotland,UK,Harris et al 2007,MR,VR,20,0.917,,0.022,0.098,1,,0.917,0.917,0.022,0.098,Error in H&R SDs,0.917,0.098
Common Guillemot,Immature,3,4,National,National (H&R; 2015),National - single study,Isle of May,1983-2002,SE Scotland,UK,Harris et al 2007,MR,VR,20,0.938,,0.024,0.107,1,,0.938,0.938,0.024,0.107,Error in H&R SDs,0.938,0.107
Razorbill,Adult,2,,National,National (H&R; 2015),National - derived ,,,,,,,,,,,,,2,No,0.895,0.895,0.067,0.067,Good,0.895,0.067
Razorbill,Adult,2,,Isle of May (1984-2008),Isle of May (1984-2008),Study - sep and nat,Isle of May,1984-2008,SE Scotland,UK,Lahoz-Monfort et al 2011,MR,VR,24,0.894,0.07,,0.07,,,,,,,,0.894,0.07
Razorbill,Adult,2,,Shiant Islands (1990-1995),Shiant Islands (1990-1995),Study - sep only,Shaint Islands,1990-1995,NW Scotland,UK,Chapdelaine 1997,MR,,5,0.77,0.21,,0.21,,,,,,,,0.77,0.21
Razorbill,Adult,2,,Skomer (1970-2008),Skomer (1970-2008),Study - sep and nat,Skomer,1970-2008,Wales,UK,Taylor et al 2010,MR,,39,0.895,0.064,,0.064,,,,,,,,0.895,0.064
Razorbill,Immature,0,2,National,National (H&R; 2015),National - derived ,,,,,,,,,,,,,2,No,0.63,0.63,0.209,,Missing value for SE,0.794,
Razorbill,Immature,0,2,,,Study - nat only,Gannet Island,1995-2006,Labrador,Canada,Lavers et al 2008,MR,,11,0.482,,0.033,0.109,,,,,,,,0.482,0.109
Razorbill,Immature,0,2,,,Study - nat only,Machias  seal Island,1995-2006,New Brunswick,Canada,Lavers et al 2008,MR,,11,0.778,,0.041,0.136,,,,,,,,0.778,0.136
European Shag,Adult,2,,National,National (H&R; 2015),National - single study,Isle of May,1963-2005,SE Scotland,UK,Frederiksen et al 2008,Joint,VR,42,0.858,0.194,,0.194,1,,0.858,0.858,0.194,0.194,Good,0.858,0.194
European Shag,Immature,0,1,National,National (H&R; 2015),National - single study,Isle of May,1963-2005,SE Scotland,UK,Frederiksen et al 2008,Joint,VR,42,0.513,0.246,,0.246,1,,0.513,0.513,0.256,0.246,Good,0.513,0.246
European Shag,Immature,1,2,National,National (H&R; 2015),National - single study,Isle of May,1963-2005,SE Scotland,UK,Frederiksen et al 2008,Joint,VR,42,0.737,0.181,,0.181,1,,0.737,0.737,0.181,0.181,Good,0.737,0.181
Great Cormorant,Adult,1,,National,National (H&R; 2015),National - derived ,,,,,,,,,,,,,2,Yes,0.868,0.868,0.055,0.048,,0.868,0.048
Great Cormorant,Adult,1,,,,Study - nat only,Vorso,1977-1997,Horsens Fjord,Denmark,Frederiksen and Bregnballe 2000b,Joint,VR,20,0.88,0.055,,0.055,,,,,,,Good,0.88,0.055
Great Cormorant,Adult,1,,,,Study - nat only,,1981-1993,,Denmark,Hénaux et al 2007,MR,VR,13,0.85,,0.01,0.036,,,,,,,Good,0.85,0.036
Great Cormorant,Immature,0,1,National,National (H&R; 2015),National - derived ,,,,,,,,,,,,,2,No,0.54,0.54,0.09,,Missing value for SE,0.54,
Great Cormorant,Immature,0,1,,,Study - nat only,Vorso,1977-1997,Horsens Fjord,Denmark,Frederiksen & Bregnballe 2000a,Joint,VR,20,0.58,,,,,,,,,,,0.58,
Great Cormorant,Immature,0,1,,,Study - nat only,,1981-1993,,Denmark,Hénaux et al 2007,MR,VR,13,0.5,0.324,,0.324,,,,,,,,0.5,0.324
Northern Gannet,Adult,4,,Bass Rock,Bass Rock,Study - sep only,Bass Rock,1959-2001,SE Scotland,UK,Wanless et al 2006,RR,VR,42,0.916,,0.003,0.019,,,,,,,,0.916,0.019
Northern Gannet,Adult,4,,Ailsa Criag; Hermaness; Great Saltee; and others,Ailsa Criag; Hermaness; Great Saltee; and others,Study - sep only,Ailsa Criag; Hermaness; Great Saltee; and others,1959-2001,,UK,Wanless et al 2006,RR,VR,42,0.922,,0.003,0.019,,,,,,,,0.922,0.019
Northern Gannet,Adult,4,,National,National (H&R; 2015),National - single study,Bass Rock; Ailsa Criag; Hermaness; Great Saltee; and others,1959-2001,,UK,Wanless et al 2006,RR,VR,42,0.919,0.042,,0.042,1,,0.919,0.919,0.042,0.042,Good,0.919,0.042
Northern Gannet,Immature,0,1,Bass Rock,Bass Rock,Study - sep only,Bass Rock,1959-2001,SE Scotland,UK,Wanless et al 2006,RR,VR,42,0.542,,0.013,0.084,,,,,,,,0.542,0.084
