Regclass,Species,Region,nsites,nyears,BS.mean,BS.sd1,BS.sd2,BS.sd
Site,Arctic Skua,Birsay Moors to South of Hillside Road;Birsay Moors RSPB,1,16,0.5575,0.397450206524876,NA,0.397450206524876
Site,Arctic Skua,Fair Isle SPA;Fair Isle,1,30,0.394,0.39373192350406,NA,0.39373192350406
Site,Arctic Skua,Fetlar;Fetlar RSPB,1,15,0.460666666666667,0.512075143295349,NA,0.512075143295349
Site,Arctic Skua,Foula SPA;Foula,1,26,0.374230769230769,0.415520618760832,NA,0.415520618760832
Site,Arctic Skua,Handa Island SPA;Handa Island,1,18,0.933888888888889,0.384266128505154,NA,0.384266128505154
Site,Arctic Skua,Hermaness;Hermaness,1,11,0.589090909090909,0.421365744821635,NA,0.421365744821635
Site,Arctic Skua,Hoy and Southwalls;Binga Fea,1,7,0.118571428571429,0.102701601972019,NA,0.102701601972019
Site,Arctic Skua,Mousa SPA;Mousa RSPB,1,14,0.584285714285714,0.481978523072654,NA,0.481978523072654
Site,Arctic Skua,NA;North Hill RSPB. Papa Westray,1,29,0.51551724137931,0.394937483361034,NA,0.394937483361034
Site,Arctic Skua,North Mainland 17 - Whalwick Taing to Point of Quida Stac;North Mainland 17 - Whalwick Taing to Point of Quida Stac - breeding success,1,5,0.112,0.165891530826622,NA,0.165891530826622
Site,Arctic Skua,Noss SPA;Noss,1,13,0.533846153846154,0.343111703422721,NA,0.343111703422721
Site,Arctic Skua,Papa Stour SPA;Papa Stour Whole Island,1,7,0.0728571428571429,0.192761881234706,NA,0.192761881234706
Site,Arctic Skua,Unst - Hill of Colvadale;Unst - Hill of Colvadale - breeding success,1,9,0.568888888888889,0.361678187220506,NA,0.361678187220506
Site,Arctic Skua,Westray - North East;Gallo Hill,1,11,0.626363636363636,0.463578962578604,NA,0.463578962578604
Site,Atlantic Puffin,Fair Isle SPA;Fair Isle,1,31,0.630967741935484,0.174649264502883,NA,0.174649264502883
Site,Atlantic Puffin,Farne Islands SPA;Farne Islands,1,22,0.769090909090909,0.175361099310865,NA,0.175361099310865
Site,Atlantic Puffin,Skokholm and Skomer SPA;Skokholm,1,6,0.576666666666667,0.0731209044437134,NA,0.0731209044437134
Site,Atlantic Puffin,Skokholm and Skomer SPA;Skomer,1,28,0.754285714285714,0.0701019665507731,NA,0.0701019665507731
Site,Atlantic Puffin,St Kilda SPA;Dun,1,11,0.568181818181818,0.158418318499988,NA,0.158418318499988
Site,Common Guillemot,Deerness;Mull Head - cliff-nesters,1,23,0.56304347826087,0.249480091801998,NA,0.249480091801998
Site,Common Guillemot,Fair Isle SPA;Fair Isle,1,31,0.514193548387097,0.285000282965338,NA,0.285000282965338
Site,Common Guillemot,Farne Islands SPA;Farne Islands,1,9,0.787777777777778,0.140158640277524,NA,0.140158640277524
Site,Common Guillemot,Flamborough Head and Bempton Cliffs SPA;Flamborough Head and Bempton Cliffs,1,17,0.724117647058824,0.118060303633853,NA,0.118060303633853
Site,Common Guillemot,Handa Island SPA;Handa Island,1,30,0.596666666666667,0.225607736070181,NA,0.225607736070181
Site,Common Guillemot,Lundy;Lundy,1,10,0.598,0.228803651874508,NA,0.228803651874508
Site,Common Guillemot,Marwick Head SPA;Marwick Head,1,28,0.5525,0.257762810868183,NA,0.257762810868183
Site,Common Guillemot,NA;North Hill RSPB. Papa Westray,1,27,0.450740740740741,0.289055836047772,NA,0.289055836047772
